Class	GTEx_Tissue	Num_Expressed Genes	Num_Unexpressed_Genes	Fisher_P_Controls	Fisher_P_NDD	Fisher_P_Controls_Bonferroni	Fisher_P_NDD_Bonferroni
Hotspot Genes	Colon - Sigmoid	6	13	0.799937186051867	1.72020377481461e-05	1	0.000928910038399892
NDD-Associated Genes	Colon - Sigmoid	781	211	0.799937186051867	1.72020377481461e-05	1	0.000928910038399892
Control Genes	Colon - Transverse	15867	39316	1	1.93437713908452e-06	1	0.000104456365510564
Hotspot Genes	Colon - Transverse	5	14	1	1.93437713908452e-06	1	0.000104456365510564
NDD-Associated Genes	Colon - Transverse	782	210	1	1.93437713908452e-06	1	0.000104456365510564
Control Genes	Esophagus - Gastroesophageal Junction	15406	39777	1	2.58306170392073e-06	1	0.000139485332011719
Hotspot Genes	Esophagus - Gastroesophageal Junction	5	14	1	2.58306170392073e-06	1	0.000139485332011719
NDD-Associated Genes	Esophagus - Gastroesophageal Junction	777	215	1	2.58306170392073e-06	1	0.000139485332011719
Control Genes	Esophagus - Mucosa	15207	39976	0.123832679633748	4.91435021597282e-09	1	2.65374911662532e-07
Hotspot Genes	Esophagus - Mucosa	2	17	0.123832679633748	4.91435021597282e-09	1	2.65374911662532e-07
NDD-Associated Genes	Esophagus - Mucosa	753	239	0.123832679633748	4.91435021597282e-09	1	2.65374911662532e-07
Control Genes	Esophagus - Muscularis	15262	39921	1	4.50834681865562e-06	1	0.000243450728207404
Hotspot Genes	Esophagus - Muscularis	5	14	1	4.50834681865562e-06	1	0.000243450728207404
NDD-Associated Genes	Esophagus - Muscularis	767	225	1	4.50834681865562e-06	1	0.000243450728207404
Control Genes	Fallopian Tube	17392	37791	0.329381430159968	0.00049610491558051	1	0.0267896654413475
Hotspot Genes	Fallopian Tube	8	11	0.329381430159968	0.00049610491558051	1	0.0267896654413475
NDD-Associated Genes	Fallopian Tube	787	205	0.329381430159968	0.00049610491558051	1	0.0267896654413475
Control Genes	Heart - Atrial Appendage	13678	41505	0.795954284596393	1.27058209829744e-05	1	0.000686114333080618
Hotspot Genes	Heart - Atrial Appendage	5	14	0.795954284596393	1.27058209829744e-05	1	0.000686114333080618
NDD-Associated Genes	Heart - Atrial Appendage	747	245	0.795954284596393	1.27058209829744e-05	1	0.000686114333080618
Control Genes	Heart - Left Ventricle	12041	43142	1	2.45078207746126e-05	1	0.00132342232182908
Hotspot Genes	Heart - Left Ventricle	4	15	1	2.45078207746126e-05	1	0.00132342232182908
NDD-Associated Genes	Heart - Left Ventricle	688	304	1	2.45078207746126e-05	1	0.00132342232182908
Control Genes	Kidney - Cortex	14593	40590	0.795887623875137	2.18234033891119e-06	1	0.000117846378301204
Hotspot Genes	Kidney - Cortex	4	15	0.795887623875137	2.18234033891119e-06	1	0.000117846378301204
NDD-Associated Genes	Kidney - Cortex	739	253	0.795887623875137	2.18234033891119e-06	1	0.000117846378301204
Control Genes	Kidney - Medulla	16003	39180	0.614613292569195	6.47983896249501e-07	1	3.4991130397473e-05
Hotspot Genes	Kidney - Medulla	4	15	0.614613292569195	6.47983896249501e-07	1	3.4991130397473e-05
NDD-Associated Genes	Kidney - Medulla	761	231	0.614613292569195	6.47983896249501e-07	1	3.4991130397473e-05
Control Genes	Liver	12831	42352	0.277628097835321	7.17151582439406e-07	1	3.87261854517279e-05
Hotspot Genes	Liver	2	17	0.277628097835321	7.17151582439406e-07	1	3.87261854517279e-05
NDD-Associated Genes	Liver	664	328	0.277628097835321	7.17151582439406e-07	1	3.87261854517279e-05
Control Genes	Lung	17130	38053	0.622150837813994	0.000192127112070365	1	0.0103748640517997
Hotspot Genes	Lung	7	12	0.622150837813994	0.000192127112070365	1	0.0103748640517997
NDD-Associated Genes	Lung	770	222	0.622150837813994	0.000192127112070365	1	0.0103748640517997
Control Genes	Minor Salivary Gland	16140	39043	0.311547818983225	2.1922173256033e-08	1	1.18379735582578e-06
Hotspot Genes	Minor Salivary Gland	3	16	0.311547818983225	2.1922173256033e-08	1	1.18379735582578e-06
NDD-Associated Genes	Minor Salivary Gland	774	218	0.311547818983225	2.1922173256033e-08	1	1.18379735582578e-06
Control Genes	Muscle - Skeletal	12013	43170	0.401358335376274	2.81530183985602e-07	1	1.52026299352225e-05
Hotspot Genes	Muscle - Skeletal	2	17	0.401358335376274	2.81530183985602e-07	1	1.52026299352225e-05
NDD-Associated Genes	Muscle - Skeletal	683	309	0.401358335376274	2.81530183985602e-07	1	1.52026299352225e-05
Control Genes	Nerve - Tibial	17436	37747	0.145008599072436	0.000919385133085579	1	0.0496467971866213
Hotspot Genes	Nerve - Tibial	9	10	0.145008599072436	0.000919385133085579	1	0.0496467971866213
NDD-Associated Genes	Nerve - Tibial	810	182	0.145008599072436	0.000919385133085579	1	0.0496467971866213
Control Genes	Ovary	16797	38386	0.461982376929677	4.55344065051502e-07	1	2.45885795127811e-05
Hotspot Genes	Ovary	4	15	0.461982376929677	4.55344065051502e-07	1	2.45885795127811e-05
NDD-Associated Genes	Ovary	767	225	0.461982376929677	4.55344065051502e-07	1	2.45885795127811e-05
Control Genes	Pancreas	12977	42206	0.277935781821957	9.83673344125008e-08	1	5.31183605827504e-06
Hotspot Genes	Pancreas	2	17	0.277935781821957	9.83673344125008e-08	1	5.31183605827504e-06
NDD-Associated Genes	Pancreas	703	289	0.277935781821957	9.83673344125008e-08	1	5.31183605827504e-06
Control Genes	Pituitary	17843	37340	0.00196404157151057	0.10361293592399	0.106058244861571	1
Hotspot Genes	Pituitary	13	6	0.00196404157151057	0.10361293592399	0.106058244861571	1
NDD-Associated Genes	Pituitary	836	156	0.00196404157151057	0.10361293592399	0.106058244861571	1
Control Genes	Prostate	17381	37802	0.625546955898042	3.44492656462899e-05	1	0.00186026034489965
Hotspot Genes	Prostate	7	12	0.625546955898042	3.44492656462899e-05	1	0.00186026034489965
NDD-Associated Genes	Prostate	805	187	0.625546955898042	3.44492656462899e-05	1	0.00186026034489965
Control Genes	Skin - Not Sun Exposed (Suprapubic)	15947	39236	0.310776364536122	2.1922173256033e-08	1	1.18379735582578e-06
Hotspot Genes	Skin - Not Sun Exposed (Suprapubic)	3	16	0.310776364536122	2.1922173256033e-08	1	1.18379735582578e-06
NDD-Associated Genes	Skin - Not Sun Exposed (Suprapubic)	774	218	0.310776364536122	2.1922173256033e-08	1	1.18379735582578e-06
Control Genes	Skin - Sun Exposed (Lower leg)	16076	39107	0.311231541327345	9.57067352158419e-09	1	5.16816370165546e-07
Hotspot Genes	Skin - Sun Exposed (Lower leg)	3	16	0.311231541327345	9.57067352158419e-09	1	5.16816370165546e-07
NDD-Associated Genes	Skin - Sun Exposed (Lower leg)	786	206	0.311231541327345	9.57067352158419e-09	1	5.16816370165546e-07
Control Genes	Small Intestine - Terminal Ileum	16567	38616	0.808271600975995	1.71945686210663e-06	1	9.28506705537578e-05
Hotspot Genes	Small Intestine - Terminal Ileum	5	14	0.808271600975995	1.71945686210663e-06	1	9.28506705537578e-05
NDD-Associated Genes	Small Intestine - Terminal Ileum	784	208	0.808271600975995	1.71945686210663e-06	1	9.28506705537578e-05
Control Genes	Spleen	16696	38487	0.462783114392351	1.14210329664738e-06	1	6.16735780189583e-05
Hotspot Genes	Spleen	4	15	0.462783114392351	1.14210329664738e-06	1	6.16735780189583e-05
NDD-Associated Genes	Spleen	751	241	0.462783114392351	1.14210329664738e-06	1	6.16735780189583e-05
Control Genes	Stomach	14937	40246	0.437308307998996	5.7965628679563e-08	1	3.1301439486964e-06
Hotspot Genes	Stomach	3	16	0.437308307998996	5.7965628679563e-08	1	3.1301439486964e-06
NDD-Associated Genes	Stomach	759	233	0.437308307998996	5.7965628679563e-08	1	3.1301439486964e-06
Control Genes	Testis	24177	31006	0.106716408777585	0.00628774864830895	1	0.339538427008683
Hotspot Genes	Testis	12	7	0.106716408777585	0.00628774864830895	1	0.339538427008683
NDD-Associated Genes	Testis	870	122	0.106716408777585	0.00628774864830895	1	0.339538427008683
Control Genes	Thyroid	17531	37652	0.332637739422918	0.000317787411849491	1	0.0171605202398725
Hotspot Genes	Thyroid	8	11	0.332637739422918	0.000317787411849491	1	0.0171605202398725
NDD-Associated Genes	Thyroid	797	195	0.332637739422918	0.000317787411849491	1	0.0171605202398725
Control Genes	Uterus	16824	38359	1	2.60019355754747e-05	1	0.00140410452107564
Hotspot Genes	Uterus	6	13	1	2.60019355754747e-05	1	0.00140410452107564
NDD-Associated Genes	Uterus	773	219	1	2.60019355754747e-05	1	0.00140410452107564
Control Genes	Vagina	16895	38288	0.215055411618641	1.97861519635501e-09	1	1.06845220603171e-07
Hotspot Genes	Vagina	3	16	0.215055411618641	1.97861519635501e-09	1	1.06845220603171e-07
NDD-Associated Genes	Vagina	807	185	0.215055411618641	1.97861519635501e-09	1	1.06845220603171e-07
Control Genes	Whole Blood	11076	44107	0.150414274501928	1.57635129786515e-05	1	0.000851229700847182
Hotspot Genes	Whole Blood	1	18	0.150414274501928	1.57635129786515e-05	1	0.000851229700847182
NDD-Associated Genes	Whole Blood	537	455	0.150414274501928	1.57635129786515e-05	1	0.000851229700847182
