hgnc	ensembl_versioned	class	pf00520	ddg2p	omim	constraint
CACNA1H	ENSG00000196557.12	Control Genes	TRUE	TRUE	TRUE	TRUE
KCNG4	ENSG00000168418.7	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPV3	ENSG00000167723.14	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
TRPV1	ENSG00000196689.11	Control Genes	TRUE	FALSE	FALSE	TRUE
SHPK	ENSG00000197417.7	Control Genes	TRUE	FALSE	TRUE	TRUE
TRPV2	ENSG00000187688.14	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNH4	ENSG00000089558.8	Control Genes	TRUE	FALSE	FALSE	TRUE
CACNA1G	ENSG00000006283.17	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNH6	ENSG00000173826.14	Control Genes	TRUE	FALSE	FALSE	TRUE
SCN4A	ENSG00000007314.12	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
KCNG2	ENSG00000178342.4	Control Genes	TRUE	FALSE	FALSE	TRUE
HCN2	ENSG00000099822.2	NDD-Associated Genes	TRUE	FALSE	FALSE	TRUE
CACNA1A	ENSG00000141837.19	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
RYR1	ENSG00000196218.12	Control Genes	TRUE	TRUE	TRUE	TRUE
KCNA7	ENSG00000104848.1	Control Genes	TRUE	FALSE	FALSE	TRUE
TRPM4	ENSG00000130529.15	Control Genes	TRUE	FALSE	TRUE	TRUE
KCNC3	ENSG00000131398.13	NDD-Associated Genes	TRUE	TRUE	TRUE	TRUE
KCNS1	ENSG00000124134.8	Control Genes	TRUE	FALSE	FALSE	TRUE
KCNB1	ENSG00000158445.9	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
KCNG1	ENSG00000026559.13	Proposed Novel Hotspot Genes	TRUE	FALSE	FALSE	TRUE
KCNQ2	ENSG00000075043.18	Hotspot Genes	TRUE	TRUE	TRUE	TRUE
TRPM2	ENSG00000142185.16	Control Genes	TRUE	FALSE	FALSE	TRUE
CACNA1I	ENSG00000100346.17	Control Genes	TRUE	FALSE	FALSE	TRUE
KCND1	ENSG00000102057.9	Control Genes	TRUE	FALSE	FALSE	TRUE
CACNA1F	ENSG00000102001.12	Control Genes	TRUE	FALSE	TRUE	TRUE
TRPC5	ENSG00000072315.3	Control Genes	TRUE	FALSE	FALSE	TRUE
CNGA2	ENSG00000183862.5	Control Genes	TRUE	FALSE	FALSE	TRUE
