symbol	hgnc_id	chr	diagnostic_category	coding_sequence_variant	frameshift_variant	inframe_deletion	inframe_insertion	initiator_codon_variant	missense_variant	splice_acceptor_variant	splice_donor_variant	stop_gained	stop_lost	stop_retained_variant	synonymous_variant	PTV_enrichment_p	power_median	s_het	observed_full	expected_full	enrich_all_p_full	enrich_mis_p_full	cluster_p_full	denovoWEST_p_full	observed_ud	expected_ud	enrich_all_p_ud	enrich_mis_p_ud	cluster_p_ud	denovoWEST_p_ud	denovoWEST_p_ud_synmod	gnomad_oe_syn	significant
AARS2	21022	6	none	0	0	0	0	0	2	0	0	0	0	0	3	0.275577327314782	0.972693810035068	0.01757479	0.284441377815328	0.618805743799159	1	1	0.152288847711152	0.43889284187166	0.284441377815328	0.4839189228345	1	1	0.152098847901152	0.438535148168348	NA	NA	0
AARSD1	28417	17	none	0	0	0	0	0	0	0	0	0	0	0	0	0.110878044245019	0.410425485525552	0.001337456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
AASDH	23993	4	none	0	0	0	0	0	0	0	0	0	0	0	0	0.238353059839981	0.92213823265796	0.017382735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
AASDHPPT	14235	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.090797525602442	0.442275367015514	0.061675049	0.133181540262228	0.181834674908247	1	0.336665720320327	NA	1	0.133181540262228	0.142198486192656	1	0.272471597006071	NA	1	NA	NA	0
AASS	17366	7	none	0	0	0	0	0	0	0	0	0	0	0	0	0.212967600218411	0.854969213590956	0.011528158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
AATF	19235	17	none	0	0	0	0	0	2	0	0	0	0	0	0	0.157188142837547	0.729855815972987	0.008867597	0.238051802422789	0.283863678467143	1	0.334355338467196	0.163339836660163	0.213400975628716	0.238051802422789	0.221987282587739	0.365989166660436	0.260932658102785	0.163617836382164	0.177335528355822	NA	NA	0
AATK	21	17	none	0	0	0	0	0	4	0	0	0	0	0	2	0.2737275756252	0.971127512042542	NA	0.394335986800278	0.780609378421169	1	1	0.856640143359857	0.989194370159601	0.296251990100209	0.610452720171719	1	1	0.564766435233565	0.887441797217475	NA	NA	0
ABAT	23	16	none	0	0	0	0	0	4	0	0	0	0	0	1	0.140907392322308	0.631402011405767	0.024801952	0.932544533581793	0.336267323250899	0.060322750885334	0.011473928515362	0.589328410671589	0.040547464711496	0.7998696	0.26296801941908	0.057734399112276	0.014390258835593	0.435485564514435	0.038054823043735	NA	NA	0
ABCA1	29	9	none	0	0	0	0	0	6	0	0	0	0	0	0	0.477203279943065	0.999914714226077	0.026799861	1.53248518767311	1.39348206471814	0.384488323604401	0.160596707854105	0.368092631907368	0.226306701821245	1.53248518767311	1.08973186901521	0.228710915810971	0.077611259769402	0.367739632260368	0.130043662942191	NA	NA	0
ABCA10	30	17	none	0	0	0	0	0	2	0	0	0	0	0	0	0.35849854376009	0.995640896929002	NA	0.260172015594666	0.575536157854811	1	1	0.752441247558753	0.966459888673312	0.260172015594666	0.45008120941392	1	0.402406285314092	0.751921248078752	0.664284442270043	NA	NA	0
ABCA12	14637	2	none	0	1	0	0	0	5	1	0	0	0	0	2	0.040117618447129	0.999993540254211	0.020877427	1.75907316211825	1.18685155870949	0.177441725317933	1	0.673335326664673	0.177441725317933	0.711681944332914	0.928142528750616	1	0.320788835008709	0.673976326023674	0.547327656388722	NA	NA	0
ABCA13	14638	7	discordant	0	0	0	0	0	12	0	0	1	0	0	5	0.348416315267175	0.999999999833782	NA	2.25875116462248	1.70407507126999	0.212157274965959	0.080187978753764	0.748407251592748	0.212157274965959	1.36050170030333	1.33262204040848	0.433151534538529	0.06785687884149	0.731669268330732	0.198733254850523	NA	NA	0
ABCA2	32	9	none	0	1	0	0	0	10	0	0	0	0	0	8	0.136983150081705	0.999906973970772	0.105003717	2.34318077606274	1.51111668061388	0.105827501023788	0.143508334745803	0.753352246647753	0.105827501023788	0.973834791161361	1.18172457784632	1	0.414346009682741	0.878024121975878	0.731662594371508	NA	NA	0
ABCA3	33	16	none	0	0	0	0	0	7	0	0	0	0	0	0	0.354595600347719	0.994981180871594	0.019492204	0.89829776694518	0.902219675814746	1	0.237821810921431	0.58980041019959	0.415781286478601	0.89829776694518	0.705554494371456	0.292451092714578	0.122170335043194	0.58979041020959	0.261582824398619	NA	NA	0
ABCA4	34	1	none	0	0	0	0	0	3	0	1	0	0	0	2	0.142082390371016	0.999936638723482	0.00754663	0.939932267156878	1.21301107818865	1	1	0.907531092468908	0.995586521760796	0.633984067156878	0.948599815411371	1	1	0.409041590958409	0.774699592153149	NA	NA	0
ABCA5	35	17	none	0	0	0	0	0	4	0	0	0	0	0	1	0.379395058443843	0.99801205323439	0.008746697	0.804889983577525	0.747393782505382	0.397436798043391	0.135213396525342	0.767649232350768	0.33892901111657	0.804889983577525	0.584477435426961	0.275439838796199	0.071783186831785	0.767998232001768	0.214898263414305	NA	NA	0
ABCA6	36	17	none	0	1	0	0	0	5	1	0	0	0	0	1	0.009794710328488	0.99434185328148	0.007232053	1.65575207451592	0.551186049889886	0.016898177290957	0.120424892530762	0.817938182061818	0.016898177290957	0.910653799425273	0.431038920076157	0.107269083766968	0.115759455433614	0.696928303071697	0.107269083766968	NA	NA	0
ABCA7	37	19	none	0	0	0	0	0	8	0	0	0	0	0	5	0.445520768202196	0.999883594072803	NA	1.18988954436175	1.23880516803073	1	0.238632565532011	0.16983583016417	0.170452283523293	1.0236005689235	0.968771328518605	0.408788056204414	0.192246493514323	0.156404843595156	0.135436096685241	NA	NA	0
ABCA8	38	17	none	0	0	0	0	0	8	0	0	1	0	0	1	0.073049442053478	0.995399449839445	NA	1.66866280881976	0.611034864266853	0.024548301959261	0.004272572287199	0.303540696459303	0.009918401033988	0.955166340428623	0.477841933907953	0.117826194323175	0.171768484570513	0.098132901867098	0.085680438217235	NA	NA	0
ABCA9	39	17	none	0	0	0	0	0	4	0	0	0	0	0	1	0.382923480300364	0.998267811526563	NA	0.457620809880522	0.631775138911075	1	0.299935380623145	0.85988114011886	0.607413684481671	0.359536813180452	0.49406125873759	1	0.309209589683822	0.946327053672946	0.652206883643575	NA	NA	0
ABCB1	40	7	none	0	0	0	0	0	2	0	0	0	0	0	2	0.306261178519733	0.989759389398608	0.031157531	0.4256491740702	0.661463544571472	1	1	0.704283295716704	0.951187126934376	0.4256491740702	0.51727820756494	1	0.325910978711649	0.703440296559703	0.566935123846151	NA	NA	0
ABCB10	41	1	none	0	0	0	0	0	0	0	0	0	0	0	1	0.171426087745067	0.800170633654521	0.014464135	0.001	0.432960341961785	1	1	NA	1	0.001	0.338583965019249	1	1	NA	1	NA	NA	0
ABCB11	42	2	none	0	0	0	0	0	5	0	0	0	0	0	1	0.307155564255543	0.990063551857326	0.012776527	1.23855660430342	0.676023458579065	0.125081008974045	0.024614112337014	0.936340063659936	0.109939929532251	0.8107014	0.528664362224492	0.224888620990525	0.084973265115587	0.342473657526342	0.132031105765212	NA	NA	0
ABCB4	45	7	none	0	0	0	0	0	0	0	0	0	0	0	0	0.312108214927312	0.99160492474125	0.018869719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABCB5	46	7	none	0	0	0	0	0	4	0	0	0	0	0	0	0.330710290133933	0.988562657432329	NA	0.646989619629486	0.604299365199072	0.40631849076662	0.12047809259904	0.322928677071323	0.165217935621493	0.646989619629486	0.472574633973696	0.298340832371055	0.064766243045926	0.323480676519323	0.101937096499933	NA	NA	0
ABCB6	47	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.231006141361073	0.90604113981188	0.005665751	0.112154672261705	0.582069644319107	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0
ABCB7	48	X	discordant	0	0	0	0	0	3	0	0	0	0	0	0	0.147086317234915	0.670959516782727	NA	1.6104037	0.324330083648237	0.010180828284358	0.004908269544038	0.023685976314024	0.001169512806396	1.6104037	0.247029159918695	0.004677474915173	0.002223841578253	0.023748976251024	0.000572964664931	NA	NA	0
ABCB8	49	7	none	0	0	0	0	0	5	0	0	0	0	0	1	0.181220421151228	0.840064984078936	0.007187821	0.704955338338871	0.47875241689561	0.235882315540646	0.116679452949566	0.687515312484688	0.235882315540646	0.379005241638801	0.374394317134411	0.421303984140079	0.310418562018896	0.863353136646863	0.421303984140079	NA	NA	0
ABCB9	50	12	none	0	0	0	0	0	3	0	0	0	0	0	0	0.163383018775565	0.762281422410771	0.013669495	0.502116193400139	0.508095740109317	1	0.34261675758128	0.962632037367963	0.695652255317926	0.40403219670007	0.397341404333024	0.42260542669932	0.333065601748887	0.753116246883753	0.42260542669932	NA	NA	0
ABCC1	51	16	none	0	0	0	0	0	5	0	0	0	0	0	2	0.348917264345896	0.993858676736768	0.025299632	0.980198196441022	0.902411616666243	0.392639266005841	0.182195273063413	0.192503807496193	0.152579852992052	0.630928599740952	0.70570459609729	1	0.31744492855319	0.078657921342079	0.117109671756628	NA	NA	0
ABCC10	52	6	none	0	0	0	0	0	2	0	0	0	0	0	1	0.335829048379668	0.990359713252625	0.004950327	0.267575962515644	0.865332894692487	1	1	0.391551608448391	0.758685255871347	0.267575962515644	0.676708266671748	1	1	0.39025260974739	0.757465108247993	NA	NA	0
ABCC11	14639	16	none	0	1	0	0	0	5	0	0	0	0	0	0	0.054762075312923	0.991613011675935	NA	1.4639458619444	0.584287553009845	0.036715338621892	0.06622144286794	0.792873207126793	0.036715338621892	0.702796663865623	0.456924981888822	0.221396297151349	0.060129563900488	0.823527176472823	0.198341331711926	NA	NA	0
ABCC12	14640	16	none	0	0	0	0	0	6	0	0	0	0	0	2	0.313226037184653	0.991921348177603	NA	0.90410552608849	0.596638659523566	0.210170920360627	0.049664341653844	0.655874344125656	0.144113740647826	0.682050149607371	0.466583803287666	0.241685693111888	0.080177641462587	0.829215170784829	0.241685693111888	NA	NA	0
ABCC2	53	10	none	0	0	0	0	0	5	0	0	0	0	0	1	0.356421764794627	0.995300398037605	NA	0.580752772997584	0.709126209921802	1	0.318583579495587	0.141206858793141	0.184506336522267	0.369332715483209	0.554551400173247	1	0.435121333491685	0.100672899327101	0.180827129498259	NA	NA	0
ABCC3	54	17	none	0	0	0	0	0	4	0	0	0	0	0	2	0.334431136389431	0.989895976999452	NA	0.91153699670007	0.86071362843887	0.409610992196432	0.222067219842714	0.533590466409534	0.371226780990854	0.63935679670007	0.673095904679089	1	0.304272000011833	0.237341762658237	0.262007601126226	NA	NA	0
ABCC4	55	13	none	0	0	0	0	0	4	0	0	0	0	0	0	0.317758349178281	0.993096481788876	0.020117854	0.836953184966499	0.668941318722241	0.314725133570771	0.115845410664546	0.807694192305808	0.314725133570771	0.557569484966499	0.523125982005465	0.400592893123658	0.212347591569996	0.66034433965566	0.400592893123658	NA	NA	0
ABCC5	56	3	none	0	1	0	0	0	3	0	0	0	0	0	1	0.068027902703573	0.993055158732643	0.042924625	1.35799467509064	0.910983959762592	0.197056481950028	0.382740762221548	0.736496263503737	0.197056481950028	0.40403219670007	0.712408346149586	1	1	0.643829356170644	0.927321304507814	NA	NA	0
ABCC6	57	16	none	0	0	0	0	0	4	0	0	0	0	0	0	0.338928910186758	0.991320558900386	NA	0.494279521122993	0.767118324522657	1	1	0.757397242602757	0.967853248300044	0.396195524422923	0.599902436280715	1	1	0.804905195094805	0.979594396259319	NA	NA	0
ABCC8	59	11	discordant	0	0	0	0	0	5	0	0	0	0	0	2	0.367589515048221	0.996882440273665	0.009566748	1.4549338	1.03116720156631	0.216109614333543	0.071314860374039	0.905773094226906	0.216109614333543	1.1489856	0.806394133287479	0.23081058895918	0.091048231856893	0.653736346263654	0.227456621287529	NA	NA	0
ABCC9	60	12	consensus	0	0	0	0	0	9	0	1	0	0	0	2	0.074792865823145	0.996011191171259	NA	3.22387754628296	0.838323547317103	0.000633370748123	9.13E-05	0.076356923643076	8.98E-05	0.002	0.655586396974627	1	1	NA	1	NA	NA	0
ABCD1	61	X	discordant	0	0	0	0	0	1	0	0	0	0	0	0	0.12070186209358	0.486482506238753	0.209844338	0.4359035	0.501292257894673	1	0.411270622228447	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0
ABCD2	66	12	none	0	1	0	0	0	2	0	0	0	0	0	0	0.014784964651642	0.779699729637878	0.011638089	1.20112477839057	0.333952247361719	0.01971286641059	0.102758874746235	0.248893751106249	0.01971286641059	0.914778278390574	0.261157582069722	0.037074631018331	0.318630423857662	NA	0.037074631018331	NA	NA	0
ABCD3	67	1	none	0	0	0	0	0	2	0	0	0	0	0	1	0.23245212564657	0.909407279611561	0.069660215	0.21553136580504	0.448930850622647	1	1	0.626858373141627	0.919622950293332	0.09908399670007	0.351073233946899	1	1	NA	1	NA	NA	0
ABCD4	68	14	none	0	0	0	0	0	2	0	0	1	0	0	0	0.017074420623721	0.831643955336439	0.008977672	0.644863520102707	0.366283459245452	0.193683615463357	0.200762269942628	0.492835507164493	0.193683615463357	0.644863520102707	0.286441260163356	0.130522623098293	0.132982263790495	0.493086506913493	0.130522623098293	NA	NA	0
ABCE1	69	4	none	0	0	0	0	0	1	0	0	0	0	0	0	0.190413536865295	0.871641576950561	0.414550225	0.8178298	0.967706401320398	1	0.3662491251282	NA	1	0.8178298	0.756766471610211	0.403176352629452	0.28476573031991	NA	0.403176352629452	NA	NA	0
ABCF1	70	6	none	0	0	0	0	0	4	0	0	0	0	0	0	0.251897038031437	0.945836497412561	0.011223972	0.709687493400139	0.552378219943786	0.306867983666778	0.131894380989841	0.00973399026601	0.009831641915263	0.411305193400139	0.431971221778436	1	0.276596856138657	0.000455999544	0.001258532447864	NA	NA	0
ABCF2	71	7	none	0	0	0	0	0	1	0	0	1	0	0	0	0.018748103322202	0.861499202816858	0.137187526	0.7059211	0.417675168917613	0.200935206340688	1	NA	0.200935206340688	0.7059211	0.326630642754556	0.130792446416829	0.441170320027962	NA	0.130792446416829	NA	NA	0
ABCF3	72	3	none	0	0	0	0	0	3	0	0	0	0	0	0	0.192302390341274	0.877469886223114	0.012484962	0.731186922007317	0.439498717721154	0.191542753522484	0.085840353283241	0.605988394011606	0.191542753522484	0.462262922007317	0.343697110438901	0.295525516677499	0.188237498029969	0.347979652020348	0.244041370300485	NA	NA	0
ABCG1	73	21	none	0	0	0	0	0	1	0	0	0	0	0	0	0.158987917501479	0.73956832847223	0.022780734	0.09808399670007	0.494923586705142	1	1	NA	1	0.09808399670007	0.387040507241115	1	1	NA	1	NA	NA	0
ABCG2	74	4	none	0	1	0	0	0	3	0	0	0	0	0	0	0.019304645616603	0.870166168629559	NA	1.00798196749315	0.335796600598303	0.046614085225888	0.212954942764062	0.365527634472365	0.046614085225888	0.262883692402508	0.262599904544129	0.402058840287063	0.278170170013286	0.921328078671921	0.402058840287063	NA	NA	0
ABCG4	13884	11	none	0	0	0	0	0	2	0	0	0	0	0	1	0.149929295934312	0.688276744313845	0.010818687	0.5643342	0.418868681496683	0.306039427986636	0.210316759409177	0.197478802521197	0.173660885618869	0.293154	0.327563994339345	1	0.423968885108227	NA	1	NA	NA	0
ABCG5	13886	2	none	0	0	0	0	0	2	0	0	0	0	0	0	0.163992134151769	0.765316709201249	0.002950549	0.287310469045602	0.359142717202908	1	0.39648968929984	0.522630477369523	0.533375159211408	0.287310469045602	0.280857051819958	0.405315833680133	0.304651203901383	0.523360476639523	0.405315833680133	NA	NA	0
ABCG8	13887	2	none	0	0	0	0	0	3	0	0	0	0	0	0	0.165080658719288	0.77067288301446	NA	0.62881949670007	0.332567365057957	0.166730614727005	0.059624442744239	0.400801599198401	0.11313059003478	0.62881949670007	0.260074575392093	0.112963099134224	0.031659122042332	0.401245598754401	0.068163608861145	NA	NA	0
ABHD1	17553	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.109907542326732	0.402836746317662	0.001400535	0.181582827390779	0.162467634238842	0.345328861286376	0.244279615225369	NA	0.345328861286376	0.181582827390779	0.127053058805879	0.268037712931141	0.181091967722232	NA	0.268037712931141	NA	NA	0
ABHD10	25656	3	none	0	0	0	0	0	1	0	0	0	0	0	0	0.093662842742572	0.466758665433818	0.010814327	0.15901371566519	0.175536534684583	1	0.299910922865381	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD11	16407	7	none	0	0	0	0	0	1	0	0	0	0	0	2	0.094427926195318	0.473243913607427	0.008828617	0.117214100306543	0.182249780356463	1	1	NA	1	0.117214100306543	0.142523107260537	1	0.314226293736484	NA	1	NA	NA	0
ABHD12	15868	20	none	0	0	0	0	0	3	0	0	0	0	0	0	0.130193084377241	0.557129117587113	0.01428289	0.662708289473211	0.31290533043067	0.129521094166345	0.037196769137458	0.448844551155449	0.085024046189366	0.405198289473211	0.244698456613436	0.214603269030813	0.104436088358351	0.664800335199665	0.214603269030813	NA	NA	0
ABHD12B	19837	14	none	0	0	0	0	0	2	0	0	0	0	0	0	0.102037410610579	0.341417426881125	NA	0.196167993400139	0.159269863289124	0.334074862877511	0.252848668211208	NA	0.334074862877511	0.09808399670007	0.124552335616145	1	0.410971987193721	NA	1	NA	NA	0
ABHD13	20293	13	none	0	0	0	0	0	0	0	0	0	0	0	0	0.077149353098292	0.323724658486923	0.047630986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD14A	24538	3	none	0	0	0	0	0	0	0	0	0	0	0	0	0.070508419109208	0.267027259239027	0.008311056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD14A-ACY1	NA	NA	none	0	0	0	0	0	0	0	0	0	0	0	0	0.129392084452622	0.55132086716476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD14B	28235	3	none	0	0	0	0	0	0	0	0	0	0	0	0	0.047929043334089	0.101721295572383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD15	26971	17	none	0	1	1	0	0	1	0	0	0	0	0	1	0.007165233741588	0.46034882423227	0.006309933	1.15072670362933	0.364938085526481	0.027160395895605	0.405913810770195	NA	0.027160395895605	1.14972670362934	0.285389150018262	0.013377236896282	0.309509443516594	NA	0.013377236896282	NA	NA	0
ABHD16A	13921	6	none	0	0	0	0	0	8	0	0	0	0	0	0	0.185133699911585	0.854173604196782	0.027931396	1.514065368701	0.448349832600134	0.01509587937501	0.000626345357018	0.907465092534907	0.004815773718468	1.01038438117197	0.350618865805655	0.049964971107995	0.006946954549076	0.56006443993556	0.025481075114705	NA	NA	0
ABHD16B	16128	20	none	0	0	0	0	0	4	0	0	0	0	0	1	0.100985834661559	0.333274895595061	NA	0.583864876663822	0.29660803707847	0.12782752335674	0.048860072991071	0.055770944229056	0.018816743716881	0.431812656561115	0.231953635281146	0.153112853318432	0.082963749362493	0.14969285030715	0.066920477350603	NA	NA	0
ABHD17A	28756	19	none	0	0	0	0	0	0	0	0	0	0	0	0	0.081678346090228	0.363099258286459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD17B	24278	9	none	0	0	0	0	0	0	0	0	0	0	0	0	0.079771538258347	0.34648731758115	0.209473763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD17C	26925	15	none	0	0	0	0	0	0	0	0	0	0	0	1	0.075363705496385	0.308315405207412	0.262532423	0.001	0.765241152530303	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD18	26111	4	none	0	0	0	0	0	0	0	0	0	0	0	0	0.140035684006447	0.625617590649384	0.004747962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD2	18717	15	none	0	0	0	0	0	1	0	0	0	0	0	0	0.10781863202564	0.38649518287821	0.068686752	0.3059482	0.274847791167221	0.403158613999965	0.324109488060791	NA	0.403158613999965	NA	NA	NA	NA	NA	NA	NA	NA	0
ABHD3	18718	18	none	0	0	0	0	0	1	1	0	0	0	0	0	0.006464290550735	0.415505331064404	0.006862982	0.498460936094828	0.179239079565926	0.104424728317404	1	NA	0.104424728317404	0.498460936094828	0.140168676814258	0.07517757730391	0.459134815763908	NA	0.07517757730391	NA	NA	0
ABHD4	20154	14	none	0	0	0	0	0	1	0	0	0	0	0	1	0.114089950612046	0.435484418994509	0.009005758	0.125122732340965	0.239326120349801	1	1	NA	1	0.125122732340965	0.18715798863597	1	0.368292736542247	NA	1	NA	NA	0
ABHD5	21396	3	none	0	0	0	0	0	1	0	0	0	1	0	0	0.120218657349805	0.482794045308624	0.012795645	0.09808399670007	0.211005382114963	1	1	NA	1	0.09808399670007	0.16501058409454	1	0.365771134987383	NA	1	NA	NA	0
ABHD6	21398	3	none	0	0	0	0	0	1	0	0	0	0	0	0	0.086746993838047	0.407257046695627	0.017194869	0.3059482	0.185325443351372	0.260413418904708	0.188821136991782	NA	0.260413418904708	0.3059482	0.144928339497653	0.201406842755187	0.142431166293174	NA	0.201406842755187	NA	NA	0
ABHD8	23759	19	none	0	0	0	0	0	0	0	0	0	0	0	1	0.106075997222372	0.372870552395292	0.227185673	0.001	0.594198195047467	1	1	NA	1	0.001	0.464675309463356	1	1	NA	1	NA	NA	0
