transcript	gene	chr	amino_acids	genomic_start	genomic_end	obs_mis	exp_mis	obs_exp	chisq_diff_null	region_name
ENST00000289753.1	HTR6	1	1-201	19992247	19992849	67	120,1554139	0,557611162	23,5153618	HTR6_1
ENST00000289753.1	HTR6	1	202-441	19992850	20005861	115	112,7762997	1,019717798	0,043846475	HTR6_2
ENST00000374343.4	TMEM57	1	1-201	25757590	25783273	19	68,97984099	0,275442792	50,96341971	TMEM57_1
ENST00000374343.4	TMEM57	1	202-331	25783274	25785222	35	33,19564433	1,054355193	0	TMEM57_2
ENST00000374343.4	TMEM57	1	332-665	25785223	25824957	49	112,1378127	0,436962331	45,14061329	TMEM57_3
ENST00000235329.5	MFN2	1	1-390	12049226	12064058	83	146,4965053	0,566566416	27,52151786	MFN2_1
ENST00000235329.5	MFN2	1	391-758	12064059	12071622	132	138,6179514	0,952257616	0,315956776	MFN2_2
ENST00000263980.3	SLC9A1	1	1-672	27480825	27428237	120	279,7160302	0,429006518	91,19681226	SLC9A1_1
ENST00000263980.3	SLC9A1	1	673-816	27428236	27426798	57	62,62407629	0,910193066	0,505081049	SLC9A1_2
ENST00000373836.3	PHACTR4	1	1-561	28764896	28807009	186	165,0022532	1,127257334	2,672117282	PHACTR4_1
ENST00000373836.3	PHACTR4	1	562-713	28807010	28823061	25	63,65305401	0,392754132	23,47190732	PHACTR4_2
ENST00000373795.4	SRSF4	1	1-176	29508264	29481258	11	81,22802755	0,135421237	60,71766116	SRSF4_1
ENST00000373795.4	SRSF4	1	177-495	29481257	29474922	146	156,6496688	0,932016015	0,724006928	SRSF4_2
ENST00000407249.3	CDK11B	1	1-73	1588935	1586831	10	21,17848946	0,472177207	5,900261526	CDK11B_1
ENST00000407249.3	CDK11B	1	74-450	1586830	1573863	0	72,13880661	0	72,13880661	CDK11B_2
ENST00000407249.3	CDK11B	1	451-483	1573862	1573148	0	13,26341126	0	13,26341126	CDK11B_3
ENST00000407249.3	CDK11B	1	484-786	1573147	1571126	54	83,66656212	0,645419133	10,51919531	CDK11B_4
ENST00000376223.2	DHRS3	1	1-202	12677353	12638838	48	105,6323768	0,454406135	31,44387121	DHRS3_1
ENST00000376223.2	DHRS3	1	203-303	12638837	12628369	41	31,84005309	1,287686295	2,635191192	DHRS3_2
ENST00000377834.4	HES2	1	1-49	6479880	6479395	1	16,5490924	0,060426274	25,48552228	HES2_1
ENST00000377834.4	HES2	1	50-96	6479394	6479167	17	17,30610704	0,982312196	0,005446569	HES2_2
ENST00000377834.4	HES2	1	97-174	6479166	6478933	1	14,18437692	0,070500101	21,06447156	HES2_3
ENST00000345512.3	PTPRU	1	1-182	29563157	29585841	64	70,17558892	0,911998046	0,56014667	PTPRU_1
ENST00000345512.3	PTPRU	1	183-382	29585842	29601961	46	109,0807529	0,421705927	46,72437591	PTPRU_2
ENST00000345512.3	PTPRU	1	383-1447	29601962	29652173	372	484,8994193	0,767169407	28,60340017	PTPRU_3
ENST00000602326.1	EIF4G3	1	1-671	21329235	21220100	203	198,8173841	1,021037476	0,08799168	EIF4G3_1
ENST00000602326.1	EIF4G3	1	672-1592	21220099	21133812	176	283,6331625	0,620519824	40,84465145	EIF4G3_2
ENST00000378609.4	GNB1	1	1-62	1756892	1747212	15	27,36415096	0,548162449	5,586587694	GNB1_1
ENST00000378609.4	GNB1	1	63-341	1747211	1718770	14	120,3244514	0,116352078	93,9533805	GNB1_2
ENST00000375743.4	ZBTB17	1	1-280	16274990	16271519	82	107,5950888	0,76211657	6,088647513	ZBTB17_1
ENST00000375743.4	ZBTB17	1	281-804	16271518	16268464	80	233,3115838	0,342889104	100,7427121	ZBTB17_2
ENST00000378251.1	LRRC47	1	1-159	3713040	3712564	6	49,91929963	0,120193994	38,64046359	LRRC47_1
ENST00000378251.1	LRRC47	1	160-584	3712563	3697652	146	167,6684513	0,87076608	2,800298906	LRRC47_2
ENST00000235349.5	PRAMEF4	1	1-97	12943215	12942925	48	35,67514425	1,345474588	4,257924455	PRAMEF4_1
ENST00000235349.5	PRAMEF4	1	98-479	12942924	12939365	30	107,3396474	0,279486664	55,72424734	PRAMEF4_2
ENST00000240185.3	TARDBP	1	1-157	11073785	11078858	13	57,65625419	0,225474238	50,58422478	TARDBP_1
ENST00000240185.3	TARDBP	1	158-260	11078859	11082246	0	35,31723306	0	70,63446611	TARDBP_2
ENST00000240185.3	TARDBP	1	261-415	11082247	11082711	21	44,97915079	0,466882981	15,96788317	TARDBP_3
ENST00000375759.3	SPEN	1	1-646	16174563	16254673	136	243,565645	0,55837103	47,50410504	SPEN_1
ENST00000375759.3	SPEN	1	647-3498	16254674	16264125	917	993,0590597	0,923409329	5,82541442	SPEN_2
ENST00000375759.3	SPEN	1	3499-3665	16264126	16265922	29	65,89525105	0,440092412	20,65793101	SPEN_3
ENST00000379370.2	AGRN	1	1-468	955553	978638	133	176,7360235	0,752534754	10,8231458	AGRN_1
ENST00000379370.2	AGRN	1	469-2046	978639	990361	696	661,9050746	1,051510295	1,756239656	AGRN_2
ENST00000263934.6	KIF1B	1	1-659	10292387	10357304	114	227,5421517	0,501006074	56,6568441	KIF1B_1
ENST00000263934.6	KIF1B	1	660-1771	10380101	10436645	305	398,279466	0,765793936	21,84661657	KIF1B_2
ENST00000262450.3	CHD5	1	1-673	6240083	6203907	183	241,7903408	0,756854056	14,29463293	CHD5_1
ENST00000262450.3	CHD5	1	674-1525	6203906	6184132	117	363,8131061	0,321593692	167,4395681	CHD5_2
ENST00000262450.3	CHD5	1	1526-1699	6184131	6172243	67	54,17246067	1,236790782	3,037443073	CHD5_3
ENST00000262450.3	CHD5	1	1700-1955	6172242	6166340	61	119,3704394	0,511014287	28,5423109	CHD5_4
ENST00000505820.2	MIB2	1	1-438	1550840	1561030	131	175,3115626	0,747241072	11,20014307	MIB2_1
ENST00000505820.2	MIB2	1	439-771	1561031	1563779	172	153,9505066	1,117242183	2,116161999	MIB2_2
ENST00000505820.2	MIB2	1	772-1071	1563869	1565910	74	110,6345623	0,668868737	12,13084888	MIB2_3
ENST00000361640.4	AKR7A3	1	1-274	19615203	19610502	119	117,0351146	1,016788853	0,032988172	AKR7A3_1
ENST00000361640.4	AKR7A3	1	275-332	19610501	19609225	7	25,06709818	0,279250512	13,02185177	AKR7A3_2
ENST00000374135.4	GPN2	1	1-76	27216587	27216360	20	54,23043917	0,368796571	21,60637059	GPN2_1
ENST00000374135.4	GPN2	1	77-311	27216359	27206168	95	86,03296989	1,104227834	0,934614126	GPN2_2
ENST00000404138.1	ZBTB40	1	1-844	22816442	22839487	252	237,5258746	1,060937047	0,882010458	ZBTB40_1
ENST00000404138.1	ZBTB40	1	845-1240	22839488	22852889	101	146,8196284	0,687918919	14,29943919	ZBTB40_2
ENST00000400181.4	KDM1A	1	1-175	23346090	23370927	19	52,41132064	0,362517101	28,26466327	KDM1A_1
ENST00000400181.4	KDM1A	1	176-300	23370928	23382441	27	41,63125734	0,648551154	5,879737215	KDM1A_2
ENST00000400181.4	KDM1A	1	301-877	23382442	23409857	45	187,5260105	0,239966711	156,5990649	KDM1A_3
ENST00000375142.1	CAPZB	1	1-244	19811932	19669358	22	81,3875722	0,27031154	43,33442609	CAPZB_1
ENST00000375142.1	CAPZB	1	245-278	19669357	19669256	13	9,87461664	1,316506805	0,989205101	CAPZB_2
ENST00000540437.1	CPSF3L	1	1-381	1257333	1248421	116	169,1486924	0,685787152	16,70000199	CPSF3L_1
ENST00000540437.1	CPSF3L	1	382-607	1248420	1247239	92	73,00898968	1,260118794	4,939918694	CPSF3L_2
ENST00000426105.2	PUM1	1	1-625	31532413	31439040	117	203,2228335	0,575722708	43,2474473	PUM1_1
ENST00000426105.2	PUM1	1	626-670	31439039	31438905	22	11,36314008	1,936084555	0	PUM1_2
ENST00000426105.2	PUM1	1	671-1189	31438904	31406058	89	205,7345477	0,43259628	84,3139305	PUM1_3
ENST00000294413.7	RHCE	1	1-34	25747277	25747176	1	16,17763131	0,061813746	24,78800361	RHCE_1
ENST00000294413.7	RHCE	1	35-357	25747175	25712204	94	109,0529566	0,861966543	2,180614597	RHCE_2
ENST00000294413.7	RHCE	1	358-418	25712203	25689018	4	18,1603913	0,220259571	16,21719412	RHCE_3
ENST00000378785.2	ATAD3C	1	1-189	1386064	1391607	87	85,75478125	1,014520692	0	ATAD3C_1
ENST00000378785.2	ATAD3C	1	190-231	1391608	1392512	0	15,73951033	0	31,47902065	ATAD3C_2
ENST00000378785.2	ATAD3C	1	232-412	1392513	1403910	98	76,52316927	1,280657884	0	ATAD3C_3
ENST00000476993.1	VWA1	1	1-319	1371129	1374786	145	116,2680953	1,247117704	7,100162308	VWA1_1
ENST00000476993.1	VWA1	1	320-446	1374787	1375167	3	59,42097827	0,05048722	53,57243993	VWA1_2
ENST00000294409.2	GMEB1	1	1-101	29010125	29018158	29	28,72220832	1,009671669	0	GMEB1_1
ENST00000294409.2	GMEB1	1	102-187	29018159	29023529	2	26,31408032	0,076004936	38,32033269	GMEB1_2
ENST00000294409.2	GMEB1	1	188-574	29023530	29041285	93	115,2644376	0,806840357	4,607796978	GMEB1_3
ENST00000377658.4	KLHL21	1	1-329	6662877	6661891	36	107,4917967	0,334909278	47,54853066	KLHL21_1
ENST00000377658.4	KLHL21	1	330-598	6661890	6653425	120	131,2401643	0,914354235	0,962672465	KLHL21_2
ENST00000309212.6	MXRA8	1	1-25	1293884	1291131	10	6,599924277	1,515168899	0	MXRA8_1
ENST00000309212.6	MXRA8	1	26-313	1291130	1290072	66	131,4705906	0,502013414	39,97622727	MXRA8_2
ENST00000309212.6	MXRA8	1	314-443	1290071	1288984	56	54,2586132	1,0320942	0	MXRA8_3
ENST00000377411.4	GPR157	1	1-74	9189086	9188865	9	36,3491703	0,247598499	20,57755679	GPR157_1
ENST00000377411.4	GPR157	1	75-336	9188864	9164478	126	112,3464518	1,121530747	1,659325914	GPR157_2
ENST00000246151.4	PITHD1	1	1-73	24105006	24105948	0	17,47502591	0	17,47502591	PITHD1_1
ENST00000246151.4	PITHD1	1	74-212	24105949	24113866	39	47,54298022	0,820310376	1,535084901	PITHD1_2
ENST00000376030.2	KAZN	1	1-633	14925494	15430536	155	261,7924102	0,592072169	43,56359631	KAZN_1
ENST00000376030.2	KAZN	1	634-776	15430537	15441131	53	47,46681531	1,116569537	0,645000778	KAZN_2
ENST00000399916.1	RUNX3	1	1-220	25291062	25233835	31	116,824135	0,265356127	63,05017494	RUNX3_1
ENST00000399916.1	RUNX3	1	221-430	25233834	25228613	58	102,9761939	0,563236976	19,64393846	RUNX3_2
ENST00000235835.3	AKR7A2	1	1-59	19638618	19638442	7	37,6672698	0,185837732	24,96813393	AKR7A2_1
ENST00000235835.3	AKR7A2	1	60-360	19638441	19630719	135	121,3438989	1,112540484	1,536864232	AKR7A2_2
ENST00000378567.3	PRKCZ	1	1-224	1982070	2080348	77	83,9798692	0,916886401	0,580122052	PRKCZ_1
ENST00000378567.3	PRKCZ	1	225-503	2080349	2106686	36	115,7897937	0,310908232	54,98249004	PRKCZ_2
ENST00000378567.3	PRKCZ	1	504-593	2106687	2116448	30	32,85239376	0,913175467	0,247657757	PRKCZ_3
ENST00000247986.2	KIF17	1	1-115	21044199	21042019	40	70,70876135	0,56570076	15,84231998	KIF17_1
ENST00000247986.2	KIF17	1	116-809	21042018	21009182	302	296,2055436	1,019562282	0	KIF17_2
ENST00000247986.2	KIF17	1	810-1030	21009181	20991077	72	94,64116275	0,760768337	5,908925828	KIF17_3
ENST00000373871.3	EYA3	1	1-472	28384537	28316210	106	134,4722992	0,788266436	6,028541393	EYA3_1
ENST00000373871.3	EYA3	1	473-574	28316209	28300977	6	25,94538289	0,231255018	15,332913	EYA3_2
ENST00000377782.3	TNFRSF25	1	1-346	6526167	6521737	110	119,8531067	0,917790144	0,810022484	TNFRSF25_1
ENST00000377782.3	TNFRSF25	1	347-427	6521736	6521494	16	46,49612034	0,344114732	20,00195606	TNFRSF25_2
ENST00000246421.4	SLC35E2	1	1-245	1670996	1663960	4	59,10401347	0,067677299	51,37472267	SLC35E2_1
ENST00000246421.4	SLC35E2	1	246-267	1663959	1663894	9	8,326415515	1,080897294	0,054491162	SLC35E2_2
ENST00000543823.1	SYTL1	1	1-263	27671826	27676504	72	73,4193673	0,980667672	0,027618228	SYTL1_1
ENST00000543823.1	SYTL1	1	264-306	27676505	27676889	0	18,4078011	0	36,8156022	SYTL1_2
ENST00000543823.1	SYTL1	1	307-563	27676890	27680343	90	98,48290392	0,913864198	0,752614106	SYTL1_3
ENST00000358432.5	EPHA2	1	1-232	16482427	16475000	68	104,6223242	0,649956886	14,64915062	EPHA2_1
ENST00000358432.5	EPHA2	1	233-641	16474999	16459805	180	174,000144	1,034481902	0	EPHA2_2
ENST00000358432.5	EPHA2	1	642-977	16459804	16451710	105	167,1589231	0,62814475	26,67107071	EPHA2_3
ENST00000378295.4	TP73	1	1-128	3598930	3624310	60	56,90411515	1,054405289	0	TP73_1
ENST00000378295.4	TP73	1	129-316	3624311	3644297	36	87,86168976	0,409734892	39,48174439	TP73_2
ENST00000378295.4	TP73	1	317-637	3644298	3649643	122	137,6492579	0,886310627	1,850693657	TP73_3
ENST00000375592.3	FBXO42	1	1-307	16641913	16579591	53	99,14190707	0,534587255	21,47503161	FBXO42_1
ENST00000375592.3	FBXO42	1	308-718	16578899	16577165	130	143,9967889	0,902797909	1,360517143	FBXO42_2
ENST00000332296.7	PRAMEF1	1	1-372	12853377	12855836	96	118,6869944	0,808850207	4,336614264	PRAMEF1_1
ENST00000332296.7	PRAMEF1	1	373-475	12855837	12856145	3	36,0801143	0,083148295	30,32955919	PRAMEF1_2
ENST00000336689.3	ASAP3	1	1-55	23810626	23782652	0	11,54000954	0	11,54000954	ASAP3_1
ENST00000336689.3	ASAP3	1	56-904	23782651	23756349	290	310,5903964	0,933705624	1,365027472	ASAP3_2
ENST00000308647.7	ATAD3B	1	1-272	1407265	1420461	50	100,003751	0,499981246	25,00281329	ATAD3B_1
ENST00000308647.7	ATAD3B	1	273-364	1420462	1421926	57	49,4616849	1,152407163	1,148893221	ATAD3B_2
ENST00000308647.7	ATAD3B	1	365-407	1421927	1423249	1	23,00581195	0,043467277	21,04927923	ATAD3B_3
ENST00000308647.7	ATAD3B	1	408-649	1423250	1431197	138	108,938301	1,266772096	7,752850356	ATAD3B_4
ENST00000358136.3	VPS13D	1	1-3959	12294324	12461753	1210	1295,73796	0,933830788	5,673213276	VPS13D_1
ENST00000358136.3	VPS13D	1	3960-4389	12461754	12569078	91	149,3635731	0,609251628	22,80547118	VPS13D_2
ENST00000270722.5	PRDM16	1	1-950	2985824	3334550	388	475,9655023	0,81518513	17,36313526	PRDM16_1
ENST00000270722.5	PRDM16	1	951-1026	3334551	3342283	8	37,64304396	0,212522664	34,50678168	PRDM16_2
ENST00000270722.5	PRDM16	1	1027-1277	3342284	3350375	112	98,72369687	1,134479396	0	PRDM16_3
ENST00000527815.1	AIM1L	1	1-360	26670526	26663813	78	68,05946485	1,146056616	0	AIM1L_1
ENST00000527815.1	AIM1L	1	361-557	26663812	26658001	31	71,55980265	0,433204101	29,25373493	AIM1L_2
ENST00000527815.1	AIM1L	1	558-788	26658000	26648459	84	93,39235307	0,899431241	0,977937559	AIM1L_3
ENST00000378755.5	ATAD3A	1	1-402	1447649	1459317	127	152,6779932	0,831816016	4,583411022	ATAD3A_1
ENST00000378755.5	ATAD3A	1	403-457	1459318	1460632	1	31,41848597	0,031828396	53,94217904	ATAD3A_2
ENST00000378755.5	ATAD3A	1	458-635	1460633	1469452	61	83,55084354	0,730094364	6,72274566	ATAD3A_3
ENST00000328664.4	RHD	1	1-55	25599039	25611080	3	22,42213228	0,133796374	16,8235214	RHD_1
ENST00000328664.4	RHD	1	56-418	25611081	25655415	130	117,6029368	1,105414572	1,306831106	RHD_2
ENST00000290101.4	RAP1GAP	1	1-42	21978315	21952845	14	6,880822858	2,034640375	0	RAP1GAP_1
ENST00000290101.4	RAP1GAP	1	43-572	21952844	21929311	116	208,6525987	0,555948024	49,10252822	RAP1GAP_2
ENST00000290101.4	RAP1GAP	1	573-728	21929310	21924213	63	61,025539	1,032354667	0	RAP1GAP_3
ENST00000243189.7	C1orf63	1	1-177	25573454	25571782	72	139,4981714	0,516135798	32,65994885	C1orf63_1
ENST00000243189.7	C1orf63	1	178-291	25571781	25569080	42	32,66725864	1,285690987	2,666280087	C1orf63_2
ENST00000310991.3	TMEM52	1	1-61	1850704	1849858	1	10,73204289	0,093178905	8,825221798	TMEM52_1
ENST00000310991.3	TMEM52	1	62-210	1849857	1849321	65	53,53316775	1,214200518	2,456201404	TMEM52_2
ENST00000308271.9	USP48	1	1-633	22109450	22041946	82	198,457087	0,413187562	87,96217649	USP48_1
ENST00000308271.9	USP48	1	634-913	22041945	22021703	68	80,81371991	0,841441281	2,148529456	USP48_2
ENST00000308271.9	USP48	1	914-1036	22021702	22005910	15	42,37754248	0,353961063	23,59803409	USP48_3
ENST00000374005.3	FGR	1	1-217	27950427	27943399	63	78,83841083	0,799102865	3,419356213	FGR_1
ENST00000374005.3	FGR	1	218-365	27943398	27941361	13	60,28770658	0,215632684	54,68676294	FGR_2
ENST00000374005.3	FGR	1	366-530	27941094	27939425	39	64,12207236	0,608214903	11,46043863	FGR_3
ENST00000535591.1	PRAMEF11	1	1-92	12888523	12887581	3	30,26293268	0,099131173	24,5603262	PRAMEF11_1
ENST00000535591.1	PRAMEF11	1	93-437	12887580	12884800	78	100,2711435	0,777890799	4,946625883	PRAMEF11_2
ENST00000343090.6	UBE4B	1	1-576	10093729	10190590	179	208,0710073	0,860283238	4,061707001	UBE4B_1
ENST00000343090.6	UBE4B	1	577-1303	10190591	10240014	141	283,3233336	0,497664623	71,49404546	UBE4B_2
ENST00000375541.5	CROCC	1	1-663	17248514	17270775	338	277,9739279	1,215941374	0	CROCC_1
ENST00000375541.5	CROCC	1	664-716	17270776	17272765	0	18,70459543	0	37,40919087	CROCC_2
ENST00000375541.5	CROCC	1	717-2018	17272766	17298941	434	422,027583	1,028368802	0	CROCC_3
ENST00000377648.4	PHF13	1	1-217	6674127	6680372	79	88,97379541	0,887901878	1,11804374	PHF13_1
ENST00000377648.4	PHF13	1	218-301	6680373	6681697	5	44,97391831	0,111175548	35,52979605	PHF13_2
ENST00000375254.3	UBR4	1	1-517	19536742	19513739	98	174,0891845	0,562929858	33,25631064	UBR4_1
ENST00000375254.3	UBR4	1	518-1624	19513738	19488998	357	350,5315948	1,01845313	0,119362326	UBR4_2
ENST00000375254.3	UBR4	1	1625-2829	19488997	19467842	309	411,4019429	0,751090279	25,48883907	UBR4_3
ENST00000375254.3	UBR4	1	2830-5003	19467841	19408067	427	769,356705	0,555009136	152,345606	UBR4_4
ENST00000375254.3	UBR4	1	5004-5184	19408066	19401326	67	67,21104138	0,996860019	0,000662666	UBR4_5
ENST00000493901.1	MAP3K6	1	1-618	27693088	27687478	210	197,136939	1,065249369	0	MAP3K6_1
ENST00000493901.1	MAP3K6	1	619-721	27687477	27686751	25	57,80339707	0,432500532	23,69820805	MAP3K6_2
ENST00000493901.1	MAP3K6	1	722-1289	27686750	27681882	204	240,3554884	0,848742841	5,799370406	MAP3K6_3
ENST00000331433.4	CLCNKA	1	1-260	16349115	16353929	84	102,7729001	0,817336087	3,659376693	CLCNKA_1
ENST00000331433.4	CLCNKA	1	261-289	16353930	16354513	0	11,28730841	0	22,57461681	CLCNKA_2
ENST00000331433.4	CLCNKA	1	290-688	16354514	16360153	144	156,0506987	0,922777028	0,955515202	CLCNKA_3
ENST00000361221.3	ARHGEF10L	1	1-247	17907091	17942603	100	84,90563864	1,177778079	0	ARHGEF10L_1
ENST00000361221.3	ARHGEF10L	1	248-586	17942604	17961342	100	157,9363049	0,633166643	24,46828339	ARHGEF10L_2
ENST00000361221.3	ARHGEF10L	1	587-1280	17961343	18023875	228	256,9258679	0,88741551	3,386200854	ARHGEF10L_3
ENST00000318249.5	NBPF3	1	1-389	21771580	21805852	133	123,1165177	1,080277468	0,793420938	NBPF3_1
ENST00000318249.5	NBPF3	1	390-634	21805853	21809879	12	58,07430951	0,206631815	36,55389129	NBPF3_2
ENST00000361445.4	MTOR	1	1-2010	11319466	11188064	382	727,2042773	0,525299441	163,8686636	MTOR_1
ENST00000361445.4	MTOR	1	2011-2550	11188063	11167542	56	202,9415455	0,275941527	106,394271	MTOR_2
ENST00000373048.4	EPHA10	1	1-492	38230738	38200944	117	196,5531611	0,595258806	32,19844138	EPHA10_1
ENST00000373048.4	EPHA10	1	493-1009	38200943	38184044	225	210,2057053	1,070380082	1,041223672	EPHA10_2
ENST00000373151.2	MAP7D1	1	1-253	36622019	36640518	109	103,427462	1,053878707	0	MAP7D1_1
ENST00000373151.2	MAP7D1	1	254-396	36640519	36642137	22	66,09196404	0,332869515	39,78372069	MAP7D1_2
ENST00000373151.2	MAP7D1	1	397-842	36642138	36645859	139	149,0352712	0,932665126	0,691422537	MAP7D1_3
ENST00000334194.3	CYP4Z1	1	1-123	47533163	47548010	35	29,13624792	1,201252821	0	CYP4Z1_1
ENST00000334194.3	CYP4Z1	1	124-262	47548011	47560251	14	42,65052684	0,328249169	26,10954936	CYP4Z1_2
ENST00000334194.3	CYP4Z1	1	263-506	47560252	47583606	82	82,31641425	0,996156122	0,001217819	CYP4Z1_3
ENST00000396153.2	FAF1	1	1-457	51425483	51005298	123	144,8970587	0,848878515	3,30911602	FAF1_1
ENST00000396153.2	FAF1	1	458-651	51005297	50907112	22	66,94700008	0,32861816	30,17659961	FAF1_2
ENST00000035383.5	LRRC7	1	1-467	70225888	70486782	42	130,3189018	0,322286326	59,85492744	LRRC7_1
ENST00000035383.5	LRRC7	1	468-1440	70486783	70541963	292	313,5937896	0,931140889	1,486929154	LRRC7_2
ENST00000035383.5	LRRC7	1	1441-1538	70541964	70587570	8	27,25866156	0,293484696	13,60653913	LRRC7_3
ENST00000359600.5	ZSWIM5	1	1-201	45672022	45553902	28	93,39309552	0,29980803	45,78772036	ZSWIM5_1
ENST00000359600.5	ZSWIM5	1	202-1186	45553901	45484126	257	332,3579334	0,773262721	17,08645276	ZSWIM5_2
ENST00000372396.3	KDM4A	1	1-216	44118847	44131391	45	68,29616545	0,658894972	9,045128976	KDM4A_1
ENST00000372396.3	KDM4A	1	217-263	44131392	44132636	1	19,94010411	0,05015019	31,89474225	KDM4A_2
ENST00000372396.3	KDM4A	1	264-1065	44132637	44170041	180	278,3720315	0,646616684	39,78348307	KDM4A_3
ENST00000373036.4	MTF1	1	1-354	38323330	38297923	48	119,6910349	0,401032542	42,94059696	MTF1_1
ENST00000373036.4	MTF1	1	355-754	38297922	38280808	111	115,2398934	0,963208111	0,155993686	MTF1_2
ENST00000312233.2	GLIS1	1	1-275	54060575	53995596	134	114,0309594	1,175119465	0	GLIS1_1
ENST00000312233.2	GLIS1	1	276-322	53995595	53990552	5	24,35939876	0,205259582	22,88399903	GLIS1_2
ENST00000312233.2	GLIS1	1	323-621	53990551	53972292	120	101,1917358	1,185867592	0	GLIS1_3
ENST00000235532.5	OSCP1	1	1-30	36915970	36915881	4	19,03817909	0,210104127	11,8785956	OSCP1_1
ENST00000235532.5	OSCP1	1	31-380	36915880	36883740	121	117,6469673	1,028500801	0,095564117	OSCP1_2
ENST00000370920.3	ZRANB2	1	1-186	71546678	71536635	14	56,4363093	0,248067249	31,90925079	ZRANB2_1
ENST00000370920.3	ZRANB2	1	187-331	71536634	71530757	68	65,25572072	1,042054233	0,11540856	ZRANB2_2
ENST00000472487.1	MYSM1	1	1-527	59165724	59137622	161	158,6048628	1,015101285	0	MYSM1_1
ENST00000472487.1	MYSM1	1	528-719	59137621	59131178	17	47,70371243	0,356366394	26,32636496	MYSM1_2
ENST00000472487.1	MYSM1	1	720-829	59131177	59125669	33	31,49452359	1,047801212	0	MYSM1_3
ENST00000414809.3	ARTN	1	1-47	44401329	44401821	21	13,47425432	1,558527805	4,203338213	ARTN_1
ENST00000414809.3	ARTN	1	48-229	44401822	44402437	14	77,20724807	0,181330126	51,74586983	ARTN_2
ENST00000402904.2	SCMH1	1	1-26	41618346	41617355	10	7,013924977	1,425735238	0	SCMH1_1
ENST00000402904.2	SCMH1	1	27-231	41617354	41578977	29	72,8843991	0,397890363	34,31722884	SCMH1_2
ENST00000402904.2	SCMH1	1	232-661	41578976	41493866	136	158,0840684	0,860301746	3,239729881	SCMH1_3
ENST00000371891.3	CYP4A22	1	1-167	47603158	47607898	75	64,84818096	1,156547476	0	CYP4A22_1
ENST00000371891.3	CYP4A22	1	168-217	47607899	47609449	0	14,2609931	0	28,5219862	CYP4A22_2
ENST00000371891.3	CYP4A22	1	218-520	47609450	47614469	100	104,040069	0,961168143	0,158954444	CYP4A22_3
ENST00000370630.5	CTBS	1	1-114	85040098	85035797	19	40,01047318	0,474875663	11,03311079	CTBS_1
ENST00000370630.5	CTBS	1	115-386	85035796	85020682	96	82,97097742	1,157031085	2,045961548	CTBS_2
ENST00000319942.3	RABGGTB	1	1-35	76251957	76253283	22	11,47834084	1,916653313	9,644713728	RABGGTB_1
ENST00000319942.3	RABGGTB	1	36-332	76253284	76260335	49	89,57221927	0,547044613	18,37740529	RABGGTB_2
ENST00000372462.1	CDC20	1	1-106	43824887	43825297	17	52,70703203	0,322537607	24,19017136	CDC20_1
ENST00000372462.1	CDC20	1	107-500	43825298	43828800	118	144,7982983	0,814926704	4,95964938	CDC20_2
ENST00000370793.1	USP33	1	1-243	78211147	78196305	32	56,42511021	0,567123394	12,55080454	USP33_1
ENST00000370793.1	USP33	1	244-483	78196304	78189049	94	67,7669438	1,387106969	0	USP33_2
